indication,n_resolved,n_completed,ocr,small_sample,suppressed
Solid Tumors,49,40,0.816,False,False
Breast Cancer,48,35,0.729,False,False
Non-Small Cell Lung Cancer,42,26,0.619,False,False
Multiple Myeloma,30,15,0.5,False,False
Pancreatic Cancer,28,21,0.75,False,False
Ovarian Cancer,21,17,0.81,False,False
Hematology,21,16,0.762,False,False
Myelodysplastic Syndrome,21,16,0.762,False,False
Epithelial Neoplasm,21,13,0.619,False,False
Acute Myeloid Leukemia,21,12,0.571,False,False
Colorectal Cancer,20,18,0.9,False,False
Leukemia,20,18,0.9,False,False
Digestive System Neoplasm,20,12,0.6,False,False
Cancer,19,16,0.842,False,False
Head and Neck Neoplasm,19,12,0.632,False,False
Non-Hodgkin Lymphoma,17,15,0.882,False,False
Prostate Cancer,17,10,0.588,False,False
Thoracic Neoplasm,14,10,0.714,False,False
Gastric Cancer,14,9,0.643,False,False
Male Reproductive System Neoplasm,13,12,0.923,False,False
Diffuse Large B-Cell Lymphoma,12,11,0.917,False,False
Acute Lymphoblastic Leukemia,12,7,0.583,False,False
Connective and Soft Tissue Neoplasm,11,9,0.818,False,False
Anemia,10,10,1.0,False,False
Neoplasms,10,9,0.9,False,False
Skin Melanoma,10,8,0.8,False,False
Central Nervous System Neoplasm,10,7,0.7,False,False
Breast Neoplasm,9,9,1.0,True,True
Cervical Cancer,9,7,0.778,True,True
Glioblastoma,9,7,0.778,True,True
Liver Cancer,9,7,0.778,True,True
Chronic Lymphocytic Leukemia,9,6,0.667,True,True
Bladder Cancer,9,5,0.556,True,True
Renal Cell Carcinoma,9,5,0.556,True,True
Esophageal Cancer,8,7,0.875,True,True
Colon Carcinoma,8,6,0.75,True,True
Hepatocellular Carcinoma,8,5,0.625,True,True
Myeloproliferative Neoplasm,7,7,1.0,True,True
Hodgkin Lymphoma,7,6,0.857,True,True
Castration-Resistant Prostate Carcinoma,7,5,0.714,True,True
Head and Neck Squamous Cell Carcinoma,7,4,0.571,True,True
Chronic Myeloid Leukemia,6,6,1.0,True,True
Neuroendocrine Tumors,6,6,1.0,True,True
Brain Metastasis,6,5,0.833,True,True
Female Reproductive System Neoplasm,6,5,0.833,True,True
