target_abbreviation,n_resolved,n_completed,ocr,small_sample,suppressed
TUBB1,94,72,0.766,False,False
TYMS,59,47,0.797,False,False
GR,45,34,0.756,False,False
RNR,41,26,0.634,False,False
TOP2,39,34,0.872,False,False
EGFR,38,28,0.737,False,False
VEGFR2,27,20,0.741,False,False
CD20,25,18,0.72,False,False
PD-1,24,16,0.667,False,False
HER2,21,20,0.952,False,False
c-Kit,21,17,0.81,False,False
PDGFRβ,21,16,0.762,False,False
DHFR,20,13,0.65,False,False
VEGFR1,19,16,0.842,False,False
VEGFR3,19,16,0.842,False,False
VEGF-A,18,12,0.667,False,False
DNA-directed DNA polymerase,17,14,0.824,False,False
TOP1,16,14,0.875,False,False
CSF-3R,14,13,0.929,False,False
CRBN,14,10,0.714,False,False
IKZF1,14,10,0.714,False,False
IKZF3,14,10,0.714,False,False
PDL1,14,8,0.571,False,False
RET,13,9,0.692,False,False
FLT3,12,9,0.75,False,False
EPO receptor,10,10,1.0,False,False
ER,10,7,0.7,False,False
IL-6,10,7,0.7,False,False
PI3Kα,10,7,0.7,False,False
DNA polymerase III,10,6,0.6,False,False
RNA polymerase II,10,6,0.6,False,False
BCR-ABL1,10,5,0.5,False,False
GART,10,5,0.5,False,False
PDGFRα,9,8,0.889,False,False
BRAF,9,7,0.778,False,False
FGFR1,9,7,0.778,False,False
IL-2,9,7,0.778,False,False
TNF-α,9,7,0.778,False,False
AR,9,6,0.667,False,False
DNMT1,9,4,0.444,False,False
CaN,8,8,1.0,False,False
CK1α,8,6,0.75,False,False
CRAF,8,6,0.75,False,False
IFNγ,8,6,0.75,False,False
PI3Kδ,8,4,0.5,False,False
aromatase,8,4,0.5,False,False
FGFR2,7,6,0.857,True,True
FGFR3,7,6,0.857,True,True
VEGFR,7,5,0.714,True,True
Opioid receptors,6,6,1.0,True,True
c-Met,6,6,1.0,True,True
Bcl-2,6,5,0.833,True,True
MEK1,6,5,0.833,True,True
MEK2,6,5,0.833,True,True
mTORC1,6,5,0.833,True,True
mTORC2,6,5,0.833,True,True
μ opioid receptor,6,5,0.833,True,True
JAK2,5,5,1.0,True,True
PARP1,5,5,1.0,True,True
PARP2,5,5,1.0,True,True
CSF-2R,5,4,0.8,True,True
EGFR L858R,5,4,0.8,True,True
EGFR-Ex19del,5,4,0.8,True,True
GABAA receptor,5,4,0.8,True,True
AGP1,5,3,0.6,True,True
